season,matchday,question_number,text,category,a_pct,b_pct,c_pct,d_pct,e_pct,league_pct,difficulty
LL58,MD05,Q1,"What is the term for the mathematical symbol, also sometimes called a
                           surd
                           , which includes a
                           vinculum
                           , and is occasionally accompanied by an
                           index
                           in addition to the quantity under the vinculum (named similarly to the symbol in question)?",MATH,63,58,45,35,22,40,medium
LL58,MD05,Q2,"This is the term for a relatively modern branch of clinical medicine which focuses on the alleviation of pain, symptom relief and emotional support of ill patients, as opposed to seeking a cure for the disease. Hospice care would fall into this category, with a focus on terminally ill patients.",SCIENCE,81,71,66,58,40,58,medium
LL58,MD05,Q3,"The islands of Unguja and Pemba, along with numerous tiny islands, sit just a few miles off the eastern coast of central Africa, and make up a semi-autonomous area known as what?",GEOGRAPHY,72,47,40,19,8,28,hard
LL58,MD05,Q4,The teenage cartoon crime-solver Norville Rogers is much better known by what nickname?,TELEVISION,78,60,52,39,22,44,medium
LL58,MD05,Q5,"The
                           cê_rdoba
                           ,
                           colê_n
                           ,
                           lempira
                           ,
                           balboa
                           , and
                           quetzal
                           , all found in Central America, are various forms of what?",BUS/ECON,76,61,43,32,15,37,medium
LL58,MD05,Q6,Pictured here is one of the more famous works of what contemporary artist and (perhaps obviously) American?,ART,80,82,67,49,27,53,medium
LL58,MD06,Q1,The United Arab Republic (UAR) was a country that existed from 1958 to 1961 as a union of Egypt and what other republic (Egypt alone continued to be known officially as the UAR until 1971)?,WORLD HIST,82,65,52,35,23,44,medium
LL58,MD06,Q2,"Pyotr Tchaikovsky composed a number of operas (around 11), but his greatest masterpiece is a faithful retelling of a romantic Alexander Pushkin story, in which a young woman retains her love for the title character but remains loyal in her marriage to another. What is the title of this opera?",CLASS MUSIC,59,61,37,25,7,31,hard
LL58,MD06,Q3,"The Kuwahara Company, a Japanese bicycle manufacturer founded in 1918, was not well known internationally until one of its products was used prominently in what 1982 film?",FILM,88,75,74,65,56,67,easy
LL58,MD06,Q4,"What is the name of the cape in the southwest of Spain, not far from the city of Cêçdiz, which endures today as the name of a tourist attraction and traffic circle (of sorts) in central London?",GEOGRAPHY,84,67,61,45,26,50,medium
LL58,MD06,Q5,"What is the name of the chief harpooner aboard the Pequod in the novel
                           Moby-Dick
                           ?",LITERATURE,82,66,58,39,23,46,medium
LL58,MD06,Q6,"Skin is the human body's largest organ, accounting for about 12% of a person's weight. Which organ is the largest (and heaviest)
                           internal
                           organ in the human body, weighing an average of 3.5 pounds in adults?",SCIENCE,82,74,64,51,42,57,medium
LL58,MD07,Q1,"Bronze, pewter, soft solder, babbitt metal, and galinstan are all metal alloys that typically share what element?",SCIENCE,81,70,61,51,31,52,medium
LL58,MD07,Q2,"[Spoiler Alert] In this 1987 cinematic thriller, the big plot twist at the end is that Kevin Costner was a Soviet spy the whole time!",FILM,76,58,42,32,18,38,medium
LL58,MD07,Q3,"What is the name of the island and tourist destination in the Tyrrhenian Sea, at the southern end of the Gulf of Naples, about 20 minutes from the town of Sorrento via hydrofoil?",GEOGRAPHY,83,67,55,34,20,42,medium
LL58,MD07,Q4,"While
                           Oxfordian
                           is commonly seen, and is in fact the name of the journal of the Oxford Shakespeare Society, this is another common term for a person from Oxford, or something pertaining to Oxford University. It comes from the Latin name for Oxford, which also provides the abbreviation for the English county of Oxfordshire.",LANGUAGE,70,54,40,20,14,31,hard
LL58,MD07,Q5,"The bleak life of this Thomas Hardy tragic heroine included rape and sexual possession, the loss of a child, various circumstances of despair, and the murder of her rapist.",LITERATURE,92,88,74,55,32,60,medium
LL58,MD07,Q6,The morning sun when it's in your face really shows your age,POP MUSIC,76,57,44,43,28,44,medium
LL58,MD08,Q1,"While Ronald Reagan was the only U.S. President born and raised in the state of Illinois, three other presidents have been elected while living in the state. Name any two of the three.",AMER HIST,96,93,90,85,65,82,easy
LL58,MD08,Q2,"Provide the missing item in this sequence of albums released in the 1980s:
                           Bon Jovi
                           ,
                           7800_ç Fahrenheit
                           ,
                           ________
                           ,
                           New Jersey
                           .",POP MUSIC,81,62,58,43,29,48,medium
LL58,MD08,Q3,"This German is sometimes referred to as the ""Father of Chemical Warfare"" for his leadership in the development of chlorine gas and other deadly gases for use in trench warfare (and his active participation in their battlefield release), but is remembered more fondly for his Nobel Prize-winning work on the first successful process to produce ammonia from its elements.",SCIENCE,59,43,35,16,9,26,hard
LL58,MD08,Q4,"Who won the Nickelodeon Kids' Choice Award for ""Favorite TV Actress"" every year from 2009 to 2012, for her role as ""Alex"" on the Disney Channel series
                           Wizards of Waverly Place
                           ?",TELEVISION,84,64,60,58,54,62,easy
LL58,MD08,Q5,"B&G Foods, which manufactures such items as Cream of Wheat breakfast food, B&M Baked Beans, Molly McButter flavor sprinkles, and Kleen Guard furniture polish, also makes what brand name ""flavor enhancer"", which is essentially monosodium glutamate?",FOOD/DRINK,42,29,26,20,8,21,hard
LL58,MD08,Q6,"The New York Times
                           describes this clever 2013 debut from author Ian Doescher as ""The story of a beautiful princess, a young hero, a wise knight and an evil lord, told in iambic pentameter."" What is the book's title?",LITERATURE,49,24,19,10,6,16,hard
LL58,MD09,Q1,"This four letter initialism, which is believed to have first appeared in inscriptions (such as on coins) around 80 BC, refers to the government of the ancient Roman Republic (and later, the Roman Empire), and by extension represented the official name of the Roman state.",WORLD HIST,77,61,58,38,22,44,medium
LL58,MD09,Q2,"The domicile pictured here inspired Nathaniel Hawthorne to write what 1851 Gothic novel, about the Pyncheon family and the curse that was visited upon it in its opulent New England estate.",LITERATURE,91,87,71,51,28,57,medium
LL58,MD09,Q3,"The title character in the 2013 film
                           The Butler
                           is based loosely on real-life butler Eugene Allen, who was employed for 34 years where?",FILM,97,94,86,87,76,86,easy
LL58,MD09,Q4,"It is impossible to specify completely both the position and momentum of a particle, such as an electron, at the same time.
                           This basic law of quantum physics is most commonly known by what term, after the theoretical physicist who first formulated it in 1927?",SCIENCE,97,80,83,63,46,68,easy
LL58,MD09,Q5,"The first major event supervised by what is today known as the
                           Federation Internationale de l'Automobile
                           , and the event referred to as a Grand Prix, took place in June of 1906 near what city in northwest France? It remains today an important location in automobile racing.",GAMES/SPORT,88,78,64,57,39,60,medium
LL58,MD09,Q6,"The portmanteau ""Californication"" was a hit album and song for the Red Hot Chili Peppers in 1999; name the portmanteau which was the title of a 2001 hit song by the pop group Destiny's Child.",POP MUSIC,83,74,64,54,44,59,medium
LL58,MD10,Q1,"Approximately 90% of the nearly 7,000 known species of amphibians are frogs and toads, and about 180 are worm-like creatures called caecilians. The remainder are of the order
                           Caudata
                           , and are known more commonly as what?",SCIENCE,91,81,77,69,54,70,easy
LL58,MD10,Q2,"While the Gateway Arch is located in Missouri, a geographical feature known as Delicate Arch is located in which other U.S. state?",GEOGRAPHY,85,75,73,58,49,63,easy
LL58,MD10,Q3,"This term from Latin originated from its literal meaning, when a plot of a Greek tragedy was resolved by the intervention of a god lowered onto the stage technically, and the term has extended to describe the resolution of any conflict or difficult situation via an unexpected and contrived device or event.",LANGUAGE,93,93,88,81,55,79,easy
LL58,MD10,Q4,"Upwards of 25,000 people were killed in the February, 1945 incendiary bombing of Dresden, Germany, but the deadliest firebombing attack (~100,000 deaths) occurred during an air raid codenamed
                           Operation Meetinghouse
                           , which occurred one month later in what city?",WORLD HIST,75,62,54,34,24,43,medium
LL58,MD10,Q5,"Time Out
                           ,
                           Kick the Can
                           ,
                           It's a Good Life
                           , and
                           Nightmare at 20,000 Feet
                           are the titles of four segments from what 1983 anthology feature film?",FILM,87,78,69,60,42,61,medium
LL58,MD10,Q6,"The painting pictured here, by Italian Renaissance master Giorgione, shares its name with what (unrelated) Shakespeare play?",ART,71,65,58,42,28,48,medium
LL58,MD11,Q1,"What is the name of the thoroughfare referenced in this painting (or, at least, in the painting's title)?",ART,70,52,47,31,21,38,medium
LL58,MD11,Q2,"In this sequential list of names, who is missing?: Thomas P. O'Neill, Jr.; James C. Wright, Jr.; Thomas S. Foley; ________; J. Dennis Hastert; Nancy Pelosi; John Boehner.",AMER HIST,91,87,82,76,59,76,easy
LL58,MD11,Q3,"A
                           colloid
                           is a combination of two materials in which one is in a gas, liquid, or solid phase, with the other dispersed throughout in tiny clusters of atoms or molecules (or very large molecules). A colloid with gas dispersed in a liquid or solid is
                           foam
                           ; one with liquid particles dispersed in another liquid is an
                           emulsion
                           ; what's the term for a colloid in which liquid or solid particles are dispersed in a gas?",SCIENCE,78,54,38,32,18,37,medium
LL58,MD11,Q4,"Allegiant
                           , the third and final installment of a popular trilogy of books by Young Adult author Veronica Roth, is scheduled to be published in October of 2013. Give the titles of either of the first two novels in the series (the first of which provides the series' common name).",LITERATURE,40,28,23,18,16,23,hard
LL58,MD11,Q5,"The National Ice Center in Nottingham, England, is located in an area known as Bolero Square, named in tribute to what hometown Olympic gold medal-winning figure skating duo, and specifically their 1984 free dance performance in Sarajevo?",GAMES/SPORT,71,64,51,33,19,40,medium
LL58,MD11,Q6,"Identify the artist in this track. (15 seconds, slightly edited, SFW)",POP MUSIC,85,68,62,63,62,66,easy
LL58,MD12,Q1,"Correctly spell the direct French translation of the Italian word
                           cane
                           .",LANGUAGE,79,65,57,38,23,45,medium
LL58,MD12,Q2,"The Saxon Ottonian, Franconian, Hohenstaufen, Habsburg, and Habsburg-Lorraine dynasties all ruled (separately) what empire between 919 and 1806?",WORLD HIST,81,74,66,41,19,48,medium
LL58,MD12,Q3,Pictured here is a regular character from what television series?,TELEVISION,79,62,57,53,52,57,medium
LL58,MD12,Q4,"In geometry, a statement that is accepted as true without proof is an axiom. What other term is commonly used for these statements, particularly in association with a set laid out in Euclid's
                           Elements
                           ? Examples include
                           All right angles are congruent
                           and
                           Any straight line segment can be extended indefinitely in a straight line
                           .",MATH,57,51,39,28,18,33,hard
LL58,MD12,Q5,"The 1956 Lerner & Loewe musical
                           My Fair Lady
                           is an adaptation of what play, first published in 1912?",THEATRE,98,93,85,74,48,75,easy
LL58,MD12,Q6,This brand of vodka has been hand-made in small batches by the Nolet family in Holland since 1691.,FOOD/DRINK,75,51,42,33,18,37,medium
LL58,MD13,Q1,"This American entrepreneur is considered the creator of the mail order industry in 1872 (predating Sears & Roebuck by nearly 20 years), by way of his business selling directly to customers via his catalogs, which became known as ""dream books"", and enticed rural Americans to join urban dwellers in the growing consumer culture.",BUS/ECON,66,41,37,25,13,29,hard
LL58,MD13,Q2,"Name the author who is described in a biography as a ""tall, ugly boy with a big nose and big feet, and when he grew up with a beautiful singing voice and a passion for the theater he was cruelly teased and mocked by other children"" -- a circumstance which may have influenced one of his best known stories, first published in 1844.",LITERATURE,67,45,40,25,13,30,hard
LL58,MD13,Q3,"What is the term (derived from a French term for the rump of a horse) for the person who takes and pays out bets at a gambling table in a casino, for games such as blackjack, roulette, baccarat and craps?",GAMES/SPORT,88,86,78,64,42,65,easy
LL58,MD13,Q4,"The Sinhalese are an ethnic group native to what South Asian country, where they comprise 75% of the population of around 20 million people? Their native tongue, Sinhala, is the country's official language (along with Tamil).",GEOGRAPHY,92,92,82,72,48,72,easy
LL58,MD13,Q5,"What was the name of the dramatic television series, created by David Milch and starring Dustin Hoffman, which premiered on HBO in January of 2012, but was cancelled in March of that year due to safety concerns after the death of a third horse during production?",TELEVISION,75,57,54,44,35,48,medium
LL58,MD13,Q6,"On August 20, 1989, in a mansion on North Elm Drive in Beverly Hills, California, formerly occupied by a Saudi prince, Prince, and Elton John, two people were the victims of a soon-to-be-famous and notorious homicide. What was the last name of these two murder victims?",AMER HIST,88,74,63,50,26,53,medium
LL58,MD14,Q1,"Though he did not achieve significant renown until later in life (he won the Pulitzer Prize in 1947 at age 73), this New England-born (and inspired) composer is regarded today as one of America's greatest, thanks to works such as
                           The Unanswered Question
                           ,
                           Three Places in New England
                           , and the
                           Holiday Symphony
                           .",CLASS MUSIC,57,46,31,17,7,25,hard
LL58,MD14,Q2,"While they each appeared in over half a dozen of his films separately, 1987's
                           Radio Days
                           is the only Woody Allen film in which what two frequent Allen collaborators both appear?",FILM,55,61,51,45,28,45,medium
LL58,MD14,Q3,Identify the musical artist in this clip. (27 seconds),POP MUSIC,58,42,33,26,17,30,hard
LL58,MD14,Q4,"What is the name given to the period in UK history from roughly 1811 to 1820, during which time the Prince of Wales (later King George IV) governed as proxy for his incapacitated father, King George III. The name sometimes refers to a period extending all the way to the accession of Victoria in 1837, and the period gives its name to a style of architecture and interior design, dance, and novels.",WORLD HIST,82,60,48,26,11,36,medium
LL58,MD14,Q5,"In the following ""look and say"" sequence, what number comes next?: 1, 11, 21, 1211, 111221, ___________.",MATH,64,43,44,33,25,38,medium
LL58,MD14,Q6,"French for ""sofa"", this is a small piece of bread, decorative and usually served as an appetizer, which is topped with some sort of spread, anchovy, or cheese.",FOOD/DRINK,84,61,50,37,19,42,medium
LL58,MD15,Q1,"Three Americans in meet in the Mexican city of Tampico and, in financial distress, decide to set out in a search for gold in the mountains of western Mexico, where things go poorly (no thanks to a group of badgeless bandits). This happens in what 1948 film?",FILM,92,87,76,57,35,62,easy
LL58,MD15,Q2,"The Mississippi River forms most of the eastern border of which U.S. state, with the exception of the state's northeast corner, where the border turns straight west before connecting with the St. Francis River and turning back northward.",GEOGRAPHY,78,61,57,36,29,45,medium
LL58,MD15,Q3,"Unlike deoxyribonucleic acid (DNA), ribonucleic acid (RNA) exists in several forms, the best known of which are involved in protein synthesis: messenger RNA (mRNA), ribosomal RNA (rRNA), and what third form, abbreviated tRNA?",SCIENCE,83,64,49,41,30,47,medium
LL58,MD15,Q4,"The plays
                           Endgame
                           (
                           Fin de partie
                           ),
                           Krapp's Last Tape
                           , and
                           Happy Days
                           are, arguably, the second-through-fourth best-known works of what Irish Playwright?",THEATRE,83,74,62,42,21,49,medium
LL58,MD15,Q5,"In July of 2013, it was announced that the NBA's Charlotte Bobcats will, beginning with the 2014-15 season, be renamed to what?",GAMES/SPORT,78,73,63,58,47,60,medium
LL58,MD15,Q6,"This political party, whose name literally translates as ""Chinese National People's Party"", is a ruling party in the Republic of China, and was the same in mainland China until its defeat by the Chinese Communist Party in 1949.",WORLD HIST,66,54,45,28,11,34,medium
LL58,MD16,Q1,"The profession of faith in Christianity that declares belief in ""One Holy Catholic and Apostolic Church"" is a creed adopted, in 325, by Christian bishops convened in what city in present-day Turkey (the city after which the creed takes its most common name)?",LIFESTYLE,87,85,74,62,41,64,easy
LL58,MD16,Q2,Identify the archipelago circled in red in this image.,GEOGRAPHY,63,51,37,21,7,28,hard
LL58,MD16,Q3,"Milton and Small are the last names (the latter, ironic) of the main characters in what classic 1937 novella?",LITERATURE,87,89,84,70,51,72,easy
LL58,MD16,Q4,"The term ""voodoo economics"" is attributed to radio broadcaster Paul Harvey, but was first popularized by what U.S. Presidential candidate in 1980? It was used in derision of opponent Ronald Reagan's proposed economic policy (which came to be known as Reaganomics)?",AMER HIST,89,69,63,40,21,49,medium
LL58,MD16,Q5,"Anna (nê©e unknown), Betty (nê©e Hofstadt), and Megan (nê©e Calvet) are the former wives and current wife of what iconic television character?",TELEVISION,89,81,79,67,54,69,easy
LL58,MD16,Q6,"The famous painting by James McNeill Whistler which is commonly known as
                           Whistler's Mother
                           references, in its official title, what two colors?",ART,87,72,55,35,19,43,medium
LL58,MD17,Q1,"The works of the klezmer/jazz quartet Masada and the punk/jazz band Naked City, as well as the contemporary classical concert albums
                           Songs from the Hermetic Theatre
                           and
                           Madness, Love and Mysticism
                           , are among the vast output of what exceptionally prolific avant-garde/experimental composer and multi-instrumentalist?",CLASS MUSIC,27,20,20,9,6,13,hard
LL58,MD17,Q2,Identify the city pictured here.,GEOGRAPHY,80,61,55,49,42,53,medium
LL58,MD17,Q3,"From its debut in 1972 until the latter's death in 2003, Johnny Olson and Rod Roddy served as the announcers for what television show?",TELEVISION,94,88,76,73,66,75,easy
LL58,MD17,Q4,"What is the literary term, German for ""formation novel"", for a work that chronicles the development of a hero or heroine from youth to maturity?",LITERATURE,82,80,66,51,19,52,medium
LL58,MD17,Q5,"Identify the country which was granted independence on July 4, 1946, with former WWII POW Manuel Roxas becoming the first president of the new republic?",WORLD HIST,93,82,81,65,43,67,easy
LL58,MD17,Q6,"In 1908, this 23-year-old became the youngest CPA in Illinois, and would go on to found a namesake accountancy firm that would become one of the world's largest, until in surrendered its license to practice in the US in 2002, in the wake of the Enron auditing scandal.",BUS/ECON,87,84,73,67,43,64,easy
LL58,MD18,Q1,"9/11
                           is often used as shorthand to refer to the terrorist attacks that took place in the United States on September 11, 2001. The similar notation
                           26/11
                           is used to refer to a dozen coordinated shooting and bombing attacks that were perpetrated in 2008 in what Asian city?",CURR EVENTS,92,83,79,63,49,68,easy
LL58,MD18,Q2,"In a global ranking of average attendance at domestic professional sports leagues, the National Football League is #1 by a wide margin, with over 67,000 attendees per contest. The top football (soccer) league of what country is second, ahead of England's Premier League and Major League Baseball in the U.S.?",GAMES/SPORT,52,35,25,20,10,24,hard
LL58,MD18,Q3,"To disrupt a playroom is commonly a practice of children
                           -- this is a mnemonic used to aid in the memorization of what number?",MATH,71,60,47,39,26,43,medium
LL58,MD18,Q4,"The 1984 singles ""State of Shock"" and ""Torture"", from the
                           Victory
                           album, would be the final songs to reach the top 20 of the
                           Billboard
                           singles chart for what musical group (thought its members would go on to varying levels of individual success)?",POP MUSIC,71,46,45,29,17,34,medium
LL58,MD18,Q5,"While it was not the first opera, the work which is widely considered as the first
                           great
                           opera was composed in 1607, by an Italian composer who bridged the Renaissance and Baroque eras? Name the opera.",CLASS MUSIC,43,32,21,5,2,15,hard
LL58,MD18,Q6,"Allegedly due to a dispute over screenplay credits among credited writer Karl Tunberg, uncredited writers including Gore Vidal and Christopher Fry, and the film's producers, director, and cast, the Academy Award for Best Adapted Screenplay is the only Oscar for which this 1959 film was nominated and
                           didn't
                           win.",FILM,78,54,47,29,16,38,medium
LL58,MD19,Q1,"This word, which the American Dialect Society chose as its
                           Word of the Century
                           in January of 2000, originated as a slang term in the western U.S. in the early 1910s, and was first used in a musical context in Chicago in 1915 before settling on its current spelling in its natural home of New Orleans shortly after.",LANGUAGE,92,92,84,78,54,76,easy
LL58,MD19,Q2,"The Kra Isthmus is a land bridge whose area is divided, roughly equally, between two countries. Name either country.",GEOGRAPHY,63,50,32,27,10,30,hard
LL58,MD19,Q3,Pictured here is an image from the cover of a book by what American author and illustrator?,LITERATURE,82,75,69,64,48,64,easy
LL58,MD19,Q4,"The Twentieth Amendment to the U.S. Constitution, which was ratified in January of 1933, is popularly referred to by what avian term?",AMER HIST,92,70,52,33,19,44,medium
LL58,MD19,Q5,"Name the 6th c. Catholic pope who encouraged a ritualized use of music by the church, and after whom, three centuries later, the main standard form of Western plainsong was named (and attributed).",CLASS MUSIC,88,83,73,61,33,61,medium
LL58,MD19,Q6,"In Broadway history, two performers have won Tony Awards for playing characters of the opposite sex -- a woman did so in 1955, and a man did so in 2003. Name either actor.",THEATRE,77,64,49,37,21,42,medium
LL58,MD20,Q1,"Asian Tigers
                           is a term used to refer to four highly developed and free economies which achieved consistent high levels of economic growth beginning from the 1960s into the 1990s. Two are Hong Kong and Taiwan; name the other two republics which complete the Asian Tigers.",BUS/ECON,77,54,43,34,18,38,medium
LL58,MD20,Q2,Identify this film character.,FILM,63,44,40,34,30,38,medium
LL58,MD20,Q3,"What is the term, from fluid mechanics, for the property of a fluid's resistance to flow, due to its internal molecular friction?",SCIENCE,94,92,91,86,75,85,easy
LL58,MD20,Q4,"On February 24, 2014, just after the close of the 2014 Winter Olympics, an update of the NBC talk show
                           The Tonight Show
                           is scheduled to premiere, hosted by whom?",TELEVISION,93,84,81,77,72,78,easy
LL58,MD20,Q5,What are the common names of the two individuals in the center foreground of this photograph (last names not required)?,POP MUSIC,60,37,35,31,30,35,medium
LL58,MD20,Q6,"Glass artist Dale Chihuly, street artist Shepard Fairey, cartoonist Roz Chast,
                           Family Guy
                           creator Seth MacFarlane, art dealer Mary Boone, and artist Jenny Holzer, among many others, have degrees from what New England fine arts college?",ART,86,74,69,56,43,60,medium
LL58,MD21,Q1,"One day after being sentenced to 35 years in prison for leaking secret government files to the organization WikiLeaks, U.S. Army Pvt. Bradley Manning announced he was female and that he would seek hormone replacement therapy, and requested that she henceforth be referred to by what first name?",CURR EVENTS,92,89,82,67,51,70,easy
LL58,MD21,Q2,"Name the novelist, writing under the pseudonyms J.D. Robb and Jill March as well as her own name, who has written over 200 romance novels, which have spent a combined 18 years on the
                           New York Times
                           bestsellers list, including her most recent
                           Calculated in Death
                           .",LITERATURE,53,36,31,21,17,27,hard
LL58,MD21,Q3,"St Matthew Passion
                           , written for Good Friday vespers at St. Thomas's Church in Leipzig, was composed by what Baroque master, while serving as the church's Cantor?",CLASS MUSIC,87,83,78,59,38,63,easy
LL58,MD21,Q4,"The inorganic compound known as
                           lye
                           is a compound whose molecule contains a hydroxide anion (OH) bonded most commonly with an atom of what element?",SCIENCE,84,69,51,40,26,47,medium
LL58,MD21,Q5,"Who portrayed fictional heroic ex-con Gator McKlusky in the 1970s films
                           White Lightning
                           and
                           Gator
                           ?",FILM,87,71,58,53,39,55,medium
LL58,MD21,Q6,"This man, Ronald Reagan's National Security Advisor in 1985-86, is generally regarded as the main architect of the Iran-Contra Affair, his actions leading to his conviction on multiple felony counts in 1990 (which were reversed the next year).",AMER HIST,36,27,20,8,4,15,hard
LL58,MD22,Q1,"This traditionally salty Indian beverage is made by blending yogurt with water, salt, and spices until frothy, and flavored with cumin and chili pepper. A sweet version is flavored with sugar, rosewater, or fruit juice.",FOOD/DRINK,80,66,62,61,45,59,medium
LL58,MD22,Q2,"A violent nationalist and anti-imperialist (and mostly unsuccessful) uprising by a group known as ""The Society of Righteous and Harmonious Fists"", taking place between 1897 and 1901, is best known today by what name?",WORLD HIST,97,87,83,63,36,66,easy
LL58,MD22,Q3,"In March of 2013, this NFL quarterback became the league's highest paid player, signing a six-year, $120.6 million contract, on the heels of his MVP performance in Super Bowl XLVII.",GAMES/SPORT,76,72,67,57,47,60,medium
LL58,MD22,Q4,One of the enduring paintings of the 16th c. Flemish master Peter Bruegel the Elder is an intricate and imaginative interpretation of what famous tower?,ART,86,79,69,55,38,59,medium
LL58,MD22,Q5,"Dronabinol, ondansetron, and promethazine are all drugs which may be prescribed to prevent emesis.
                           Emesis
                           is a medical term better known as what?",SCIENCE,82,70,54,41,28,48,medium
LL58,MD22,Q6,"A tourist resort known as the Source of the Nile Gardens is located in the city of Jinja, on the Nile River where it exits from Lake Victoria, in what African country?",GEOGRAPHY,69,42,35,23,13,29,hard
